variant,keypair,sign,verify,algorithm,level
SPHINCS+-SHA2-128s-simple,1062.1416568756104,8091.768026351929,7.826566696166992,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1061.6700649261475,8089.911460876465,8.429765701293945,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1061.896800994873,8090.002775192261,7.680654525756836,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.2779598236084,8090.658664703369,8.222103118896484,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.3559226989746,8088.210105895996,8.424520492553711,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.6143684387207,8088.326930999756,8.09621810913086,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.1723403930664,8090.866327285767,7.381677627563477,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.8253688812256,8089.424610137939,8.311748504638672,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.1825923919678,8091.543197631836,8.815526962280273,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1061.7763996124268,8090.557336807251,7.559061050415039,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1061.689853668213,8089.601755142212,8.255481719970703,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1062.1044635772705,8088.001489639282,7.613182067871094,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.3835792541504,8089.908123016357,8.217811584472656,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.7538433074951,8088.679075241089,8.448123931884766,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.4970664978027,8087.932586669922,8.375883102416992,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.697099685669,8088.532447814941,8.007287979125977,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.8539791107178,8088.169813156128,8.104324340820312,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.2247924804688,8088.193416595459,7.322788238525391,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1061.7332458496094,8089.970111846924,7.7533721923828125,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1061.7945194244385,8089.110612869263,8.51130485534668,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1062.946081161499,8089.84375,7.565975189208984,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.6091232299805,8089.108943939209,7.721424102783203,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.4207725524902,8088.269472122192,8.037090301513672,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.5051727294922,8088.178873062134,8.053302764892578,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1064.6095275878906,8089.405536651611,8.367538452148438,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.4191036224365,8088.8471603393555,7.713794708251953,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1062.5832080841064,8090.075969696045,7.83085823059082,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1062.2470378875732,8090.143203735352,7.994413375854492,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1061.675786972046,8089.420795440674,8.151769638061523,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1062.9916191101074,8089.869737625122,8.596420288085938,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.3447170257568,8088.584899902344,7.723569869995117,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.521146774292,8088.996171951294,7.885456085205078,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.7056827545166,8089.25986289978,8.101701736450195,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.4901523590088,8090.302467346191,8.106231689453125,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1064.1162395477295,8088.488340377808,8.106231689453125,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1062.4439716339111,8091.289043426514,7.655143737792969,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1061.903476715088,8090.74854850769,8.371353149414062,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1061.8138313293457,8089.0326499938965,7.97581672668457,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1062.8697872161865,8089.046955108643,7.825136184692383,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.4160041809082,8089.573621749878,8.154630661010742,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.3442401885986,8088.891267776489,7.755756378173828,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.0285739898682,8089.106321334839,8.106470108032227,sphincs-sha-s,1
